LOS,w_ad_mean,w_ad_std,n_samples,w_dis_mean,w_dis_std,w_merged_mean,w_merged_std
1,0.31626034,0.33779296,169605,0.540567,0.40884924,0.14317271,0.23779197
2,0.36212766,0.37857652,43600,0.5065806,0.43276545,0.13129175,0.20243731
3,0.38480183,0.3935202,36615,0.468335,0.44030157,0.14686315,0.21781805
4,0.39205015,0.40151623,32910,0.4453226,0.44432056,0.16262726,0.2427456
5,0.39363867,0.40898308,33585,0.43237567,0.44539192,0.17398566,0.26034948
6,0.38024026,0.4034845,23910,0.44791904,0.4434319,0.17184071,0.25497046
7,0.38048974,0.40540284,22185,0.45297933,0.4406657,0.16653092,0.24875838
8,0.37950653,0.40549147,16865,0.4704934,0.4411023,0.15000008,0.2304569
9,0.37596038,0.40647304,11290,0.4748237,0.44059762,0.1492159,0.23396653
10,0.37743288,0.4075915,8980,0.4714808,0.440173,0.15108636,0.23543338
11,0.37498316,0.40720287,7855,0.4772594,0.43731213,0.14775746,0.23113678
12,0.37364203,0.40881404,6710,0.47893253,0.4365957,0.14742549,0.23188853
13,0.3700173,0.40524587,8645,0.47620475,0.43046698,0.15377796,0.23749328
14,0.35922584,0.40281957,10925,0.48291445,0.42700803,0.15785971,0.24226299
15,0.37516913,0.41097,10075,0.4822674,0.43476996,0.14256345,0.23333152
16,0.371456,0.40781105,6880,0.48692438,0.43132538,0.1416196,0.2280168
17,0.37239194,0.40808365,5945,0.48827407,0.43039158,0.13933401,0.22527249
18,0.36590567,0.40527573,5815,0.4881984,0.4285805,0.14589591,0.23196362
19,0.37435564,0.40962923,5750,0.48050603,0.4306064,0.14513834,0.23178197
20,0.3690758,0.40787664,6950,0.4823041,0.427991,0.1486201,0.23591405
21,0.36152676,0.40290698,11060,0.48557672,0.42385763,0.15289652,0.24305575
22,0.3707242,0.40875313,8610,0.48476782,0.42798844,0.14450794,0.233717
23,0.36121282,0.4032838,6860,0.49178493,0.42332932,0.14700225,0.23369566
24,0.35968524,0.40053964,5890,0.49015868,0.42044,0.15015608,0.23427755
25,0.35757023,0.3980357,6100,0.4853274,0.41747767,0.15710238,0.23876232
26,0.35515836,0.39612442,6155,0.48739552,0.41482422,0.15744612,0.23990616
27,0.3397559,0.38937175,10040,0.48147896,0.41039366,0.17876513,0.25717646
28,0.31687382,0.37896004,18470,0.4848295,0.40449214,0.19829673,0.2677503
29,0.3550075,0.39458868,12085,0.4884097,0.412855,0.15658282,0.23787642
30,0.34289855,0.38713676,9135,0.49757126,0.4063238,0.15953018,0.23700175
31,0.36115113,0.3991461,65530,0.49933496,0.41597852,0.1395139,0.22030085
32,0.35324717,0.38849163,49530,0.51500845,0.40805066,0.13174435,0.20221472
33,0.3320632,0.36685893,82015,0.5432239,0.39073145,0.12471287,0.18123233
34,0.3079877,0.33920795,68480,0.58944166,0.37113875,0.10257063,0.14448352
35,0.30335718,0.33012542,66030,0.6103202,0.36988407,0.086322576,0.12198052
36,0.2795353,0.28919178,81540,0.6583446,0.3479184,0.06212005,0.108425796
37,0.27379414,0.27210325,62980,0.6530107,0.32807228,0.073195085,0.10553444
