,name,IG_share_all,rank_all
0,ARRESTS_D,0.03650098965054959,1
1,DIVISION,0.029557184789086484,2
2,DSMCRIT,0.02737722609052922,3
3,REGION,0.026386529713356643,4
4,FREQ1_D,0.026332343913259462,5
5,LIVARAG_D,0.025905952807758467,6
6,NOPRIOR,0.025484911264450405,7
7,SUB3_D,0.02530506067707727,8
8,HERFLG,0.02377148546148469,9
9,SUB2_D,0.0236707939901709,10
10,FREQ3_D,0.02366634544871932,11
11,CBSA2020,0.02084769936666308,12
12,OPSYNFLG,0.020065632737568215,13
13,GENDER,0.01962919641890556,14
14,SEDHPFLG,0.018494269305272776,15
15,TRNQFLG,0.018449228249640615,16
16,FRSTUSE1,0.0176579074393367,17
17,EMPLOY_D,0.017457259926254184,18
18,DETNLF_D,0.016936300352504055,19
19,MARSTAT,0.016921904874739175,20
20,PCPFLG,0.016763600699466905,21
21,MTHAMFLG,0.016698164931668213,22
22,DETCRIM,0.016548326825739722,23
23,HALLFLG,0.016355222729527285,24
24,ROUTE2,0.015726104470549965,25
25,LOS,0.01572127016953602,26
26,INHFLG,0.015653151085783447,27
27,ETHNIC,0.015486511763707932,28
28,OTCFLG,0.015383977454312818,29
29,ALCDRUG,0.015358997916510481,30
30,BENZFLG,0.01508980619599187,31
31,ROUTE3,0.014920221388628882,32
32,SERVICES_D,0.014787674044440622,33
33,ALCFLG,0.014041458956064344,34
34,SERVICES,0.013983365895375756,35
35,STIMFLG,0.013937690529750591,36
36,FREQ2_D,0.01348265565818116,37
37,IDU,0.013468689238569647,38
38,METHUSE,0.013404570672983264,39
39,FREQ_ATND_SELF_HELP_D,0.013288296520876524,40
40,PSOURCE,0.012262528088935683,41
41,RACE,0.012061515439726436,42
42,OTHERFLG,0.011516234071506669,43
43,PREG,0.011355680005698627,44
44,BARBFLG,0.011175867677103582,45
45,VET,0.011147118152221495,46
46,AMPHFLG,0.010156098997053914,47
47,PSYPROB,0.010130786169013565,48
48,FRSTUSE3,0.010042141448178549,49
49,EDUC,0.009922080656749654,50
50,FRSTUSE2,0.00983489672424233,51
51,MARFLG,0.009669207462307238,52
52,STFIPS,0.009338712649490776,53
53,METHFLG,0.009260739346982901,54
54,SUB1_D,0.009140241295748064,55
55,ROUTE1,0.007774042259828856,56
56,AGE,0.007562266563828017,57
57,COKEFLG,0.007485723391365462,58
58,FREQ2,0.0064632620760704165,59
59,DETNLF,0.006396034028694554,60
60,HLTHINS,0.006089226026683754,61
61,LIVARAG,0.006073774141113943,62
62,PRIMINC,0.0047138500931375215,63
63,PRIMPAY,0.004352060332357119,64
64,ARRESTS,0.0043448291994574876,65
65,EMPLOY,0.004005692863412168,66
66,FREQ3,0.003952708155896492,67
67,FREQ1,0.003364927357937381,68
68,SUB1,0.0030966866074036517,69
69,SUB2,0.0021176831080452012,70
70,FREQ_ATND_SELF_HELP,0.0019134336345693333,71
71,SUB3,0.0015958108068151896,72
72,DAYWAIT,0.0011661646924544433,73
